Customer Account ID,Site ID,Modem Serial Number,Model,Connection Speed (Mbps),Uptime (days),Signal Strength (dBm),Packet Loss (%),Error Rate (%),SNR (Signal-to-Noise Ratio),RSSI (Received Signal Strength Indicator),Modulation Type,Error Type,Error Count,Temperature (°C),Power Level (dBm),Last Checkup Date,Failure Date,Next Predicted Failure (days)
ACC-69008,SITE-7177,ae082064,TP-Link Archer C7,1020.43,63,-88.2,7.18,4.12,19.8,-60.46,QAM16,Signal Fading,187,73.2,8.57,2022-05-15,2022-10-18,156
ACC-39713,SITE-3779,80dd42de,TP-Link Archer C7,324.27,64,-83.1,2.01,3.71,29.13,-64.49,QAM64,Signal Fading,385,60.3,-9.79,2020-04-12,2020-08-18,128
ACC-59983,SITE-9633,cd337eb5,Arris TG2492,255.0,355,-89.7,2.39,2.92,10.3,-94.05,QAM64,Packet Drops,245,35.0,3.36,2021-01-06,2021-11-21,319
ACC-29591,SITE-9925,c24a2b7b,Arris TG2492,1469.88,265,-60.7,5.82,3.77,17.09,-77.26,QPSK,Overheating,324,49.7,1.52,2022-05-30,2022-10-25,148
ACC-80179,SITE-9848,ad968b93,Netgear CM500,787.23,100,-95.2,7.07,1.27,33.92,-55.66,QAM256,CRC Errors,294,65.1,-9.95,2023-08-05,2023-12-24,141
ACC-37503,SITE-7139,cf5d8d3d,Motorola MB7621,1242.85,160,-42.3,0.83,3.63,39.41,-104.2,QPSK,CRC Errors,421,56.1,1.86,2022-02-13,2022-11-27,287
ACC-63521,SITE-6791,b66ec729,Motorola MB7621,1291.66,254,-84.7,1.82,0.86,46.41,-40.23,QAM256,CRC Errors,496,61.1,-4.55,2022-03-01,2022-11-14,258
ACC-66184,SITE-3352,01f13fd3,TP-Link Archer C7,338.66,283,-89.9,0.65,4.66,12.51,-119.51,QPSK,Packet Drops,137,70.8,-5.54,2022-05-20,2022-12-19,213
ACC-87846,SITE-5105,b27d34ea,Technicolor CGM4231,570.52,143,-86.8,7.4,0.08,24.21,-53.96,QAM64,Sync Loss,255,68.8,-5.2,2022-05-30,2023-02-16,262
ACC-49760,SITE-4846,003bfc0a,Netgear CM500,1440.78,42,-93.6,5.11,3.19,10.76,-84.98,QPSK,Overheating,379,57.0,8.34,2020-03-10,2020-05-15,66
ACC-78862,SITE-8592,fae2f45e,Motorola MB7621,229.2,207,-65.4,6.01,4.98,38.57,-112.65,QAM16,Sync Loss,104,56.5,-5.48,2022-06-11,2022-11-07,149
ACC-43653,SITE-3215,a5902a81,Netgear CM500,1175.36,187,-52.8,3.43,3.6,42.53,-98.5,QAM256,CRC Errors,55,68.4,1.66,2022-01-18,2022-11-19,305
ACC-60286,SITE-5356,be9f58b7,Technicolor CGM4231,978.01,200,-99.8,2.62,3.3,16.24,-73.48,QAM256,Sync Loss,26,71.1,-2.14,2023-01-30,2023-03-12,41
ACC-69860,SITE-9920,eacd3292,Arris TG2492,120.85,363,-66.6,0.71,1.07,16.47,-71.89,QPSK,Packet Drops,24,43.3,-3.94,2022-12-24,2023-08-21,240
ACC-15890,SITE-9503,293f333d,Motorola MB7621,1177.35,33,-58.2,1.65,2.52,47.33,-109.07,QAM16,Packet Drops,144,41.1,6.23,2021-07-28,2021-11-22,117
ACC-38584,SITE-2622,582265e3,TP-Link Archer C7,164.52,106,-79.5,4.81,1.4,44.83,-54.91,QAM64,Sync Loss,261,32.6,0.81,2023-05-02,2024-02-05,279
ACC-14530,SITE-6672,7a95f4d9,Technicolor CGM4231,123.84,16,-53.4,3.21,0.93,40.33,-116.29,QAM64,Packet Drops,182,33.6,-9.05,2023-01-27,2023-06-27,151
ACC-58489,SITE-3951,ab115bf1,Arris TG2492,1019.33,262,-53.1,1.92,3.16,14.52,-113.12,QAM16,CRC Errors,466,43.2,-0.95,2021-11-16,2022-07-02,228
ACC-42798,SITE-5675,c8475212,Netgear CM500,520.18,307,-82.7,9.91,3.45,29.03,-95.86,QAM64,Packet Drops,476,49.3,9.58,2023-07-10,2024-02-05,210
ACC-15710,SITE-3242,b326e61a,Arris TG2492,105.4,41,-54.6,5.91,3.66,37.71,-60.35,QAM16,Signal Fading,242,45.2,8.92,2020-03-18,2020-04-07,20
ACC-67614,SITE-1622,07ea7589,Arris TG2492,848.32,271,-49.7,5.16,0.7,10.9,-86.14,QPSK,Signal Fading,274,63.7,6.19,2022-10-30,2023-01-13,75
ACC-58466,SITE-8002,2d2deb1f,TP-Link Archer C7,1455.17,207,-37.1,2.48,0.64,43.77,-61.32,QPSK,Packet Drops,347,33.5,-5.74,2023-04-14,2024-01-10,271
ACC-87892,SITE-5897,c8bb99b0,Motorola MB7621,216.36,330,-59.7,3.33,1.1,10.85,-58.18,QAM64,CRC Errors,410,43.1,-2.18,2021-10-11,2022-07-03,265
ACC-23611,SITE-8746,d08f0284,Motorola MB7621,399.84,279,-86.5,4.44,4.21,28.42,-52.43,QAM64,Packet Drops,458,34.6,-5.82,2021-01-27,2021-09-25,241
ACC-34825,SITE-3051,6bdf40f8,Netgear CM500,334.3,29,-69.4,3.54,0.71,22.69,-92.86,QAM256,CRC Errors,240,81.5,-8.12,2022-05-01,2022-08-30,121
ACC-54271,SITE-6179,94596ee1,Technicolor CGM4231,1115.48,2,-30.6,2.13,4.87,18.74,-104.53,QPSK,Signal Fading,69,66.3,1.6,2023-01-22,2023-02-02,11
ACC-80853,SITE-1243,bd50416d,Netgear CM500,454.6,53,-88.5,8.16,2.94,14.67,-99.93,QAM16,CRC Errors,112,36.6,7.1,2023-06-04,2024-01-07,217
ACC-64302,SITE-8460,666ee37b,Motorola MB7621,531.05,354,-75.4,4.04,2.33,40.08,-69.1,QAM64,Sync Loss,269,36.1,-4.22,2023-08-08,2023-10-13,66
ACC-14204,SITE-5838,8af98719,Motorola MB7621,398.96,287,-69.0,6.83,2.47,28.78,-113.4,QAM256,Signal Fading,167,67.0,-7.59,2020-08-14,2021-05-21,280
ACC-23593,SITE-8816,4479e7ab,Netgear CM500,1046.86,299,-79.4,7.18,3.11,19.3,-111.54,QPSK,Overheating,491,58.2,9.78,2023-03-06,2023-03-24,18
ACC-35741,SITE-5142,f02326b2,TP-Link Archer C7,1316.72,80,-86.7,5.77,0.16,33.96,-100.41,QAM256,Packet Drops,499,82.5,9.55,2022-04-12,2022-06-06,55
ACC-20153,SITE-6382,09dddb0f,Netgear CM500,550.28,336,-73.4,3.12,2.21,43.85,-76.51,QAM256,Signal Fading,210,33.8,8.82,2022-09-08,2023-07-28,323
ACC-76611,SITE-5134,0ed11b9a,Technicolor CGM4231,364.24,213,-97.8,8.08,4.87,23.12,-71.13,QAM256,CRC Errors,331,46.4,-3.53,2021-09-26,2022-09-15,354
ACC-14502,SITE-6761,34f3f2f2,Arris TG2492,694.6,236,-93.9,7.79,2.37,34.02,-110.52,QAM64,Signal Fading,58,75.5,6.95,2020-03-03,2020-09-12,193
ACC-66928,SITE-2431,558227d8,Technicolor CGM4231,464.25,316,-98.5,5.99,4.9,23.43,-110.26,QPSK,Overheating,175,32.2,3.6,2022-11-26,2023-07-16,232
ACC-93913,SITE-6875,317e7b3f,Arris TG2492,887.72,352,-37.7,5.73,2.6,42.24,-48.72,QAM64,Signal Fading,385,81.5,-8.96,2023-05-19,2023-05-21,2
ACC-52037,SITE-7466,62632497,Arris TG2492,1020.8,168,-92.5,9.84,4.99,49.9,-91.19,QAM16,Sync Loss,181,73.1,-3.96,2021-02-13,2021-09-15,214
ACC-81010,SITE-1060,b4a6163e,Technicolor CGM4231,868.94,82,-47.7,4.57,0.24,22.04,-51.96,QAM64,CRC Errors,307,53.0,1.18,2021-09-11,2022-08-23,346
ACC-45362,SITE-2874,a104146c,Arris TG2492,1117.01,19,-61.6,3.26,0.34,28.81,-93.41,QAM64,Packet Drops,301,71.5,-6.22,2021-03-15,2022-01-26,317
ACC-38300,SITE-4741,84cd031a,TP-Link Archer C7,1464.1,207,-86.8,0.68,2.86,39.42,-99.04,QAM64,Packet Drops,246,44.7,-4.97,2023-01-25,2023-06-14,140
ACC-44317,SITE-7166,6e5a3659,TP-Link Archer C7,1087.37,308,-96.6,2.16,1.99,28.58,-68.22,QAM16,Sync Loss,407,69.5,2.05,2023-03-18,2024-01-23,311
ACC-94810,SITE-8119,d84a82b0,Motorola MB7621,717.55,234,-99.4,6.87,3.27,48.99,-53.08,QAM16,Packet Drops,480,84.2,1.0,2021-10-21,2022-02-02,104
ACC-28479,SITE-5829,70b8d1d2,Arris TG2492,1313.1,183,-60.7,6.85,3.65,38.18,-97.13,QAM64,Signal Fading,445,55.8,-4.55,2021-06-25,2021-07-23,28
ACC-22572,SITE-3584,8052cf90,Technicolor CGM4231,740.89,103,-60.7,0.78,2.63,14.31,-40.23,QAM256,Packet Drops,416,51.0,-8.92,2020-07-20,2021-02-28,223
ACC-80160,SITE-9573,88fb4afe,Arris TG2492,607.37,128,-51.0,7.69,3.48,29.28,-40.59,QAM64,Packet Drops,423,61.5,7.66,2022-12-17,2023-03-09,82
ACC-50344,SITE-9628,99b5e435,Technicolor CGM4231,803.66,47,-53.2,7.75,4.8,40.78,-41.15,QPSK,Packet Drops,129,78.0,-4.69,2023-12-23,2024-07-20,210
ACC-55241,SITE-1145,2ae46ce3,TP-Link Archer C7,924.3,83,-72.2,2.59,1.47,47.51,-60.44,QAM16,Signal Fading,221,34.9,-0.52,2021-01-03,2021-12-11,342
ACC-10018,SITE-8129,8398e98d,TP-Link Archer C7,760.15,187,-40.9,7.86,3.64,45.02,-41.27,QAM16,Packet Drops,359,38.0,1.2,2021-10-07,2022-09-07,335
ACC-97672,SITE-7649,5c60af59,Motorola MB7621,1434.41,230,-48.6,9.17,0.34,48.34,-82.38,QPSK,Signal Fading,101,51.7,-1.43,2022-06-10,2023-04-18,312
ACC-81242,SITE-5228,db37774c,Netgear CM500,1444.5,36,-38.9,3.05,3.4,15.21,-98.41,QPSK,Signal Fading,224,67.0,-1.22,2021-09-10,2022-05-10,242
ACC-47986,SITE-8710,ca6d37d6,Arris TG2492,232.87,220,-75.0,8.41,1.81,15.03,-66.95,QAM64,Packet Drops,279,81.0,-5.32,2020-01-14,2020-10-16,276
ACC-46674,SITE-7233,9d642044,TP-Link Archer C7,568.65,212,-65.7,2.86,1.11,17.38,-49.0,QPSK,Signal Fading,463,32.5,-2.89,2020-01-11,2020-06-30,171
ACC-58104,SITE-4204,c7ff0d43,TP-Link Archer C7,1204.43,92,-77.4,2.48,4.57,22.09,-71.56,QAM256,CRC Errors,215,40.4,2.06,2021-04-13,2021-12-14,245
ACC-24754,SITE-1100,bd37b0e9,Technicolor CGM4231,1148.63,108,-91.1,2.09,4.19,27.19,-111.65,QAM64,Signal Fading,218,65.8,-3.56,2022-03-04,2022-08-10,159
ACC-47762,SITE-3614,b33df39e,Arris TG2492,595.58,64,-96.1,4.23,1.32,31.74,-109.01,QAM64,CRC Errors,460,47.6,-0.67,2022-08-29,2022-11-15,78
ACC-15217,SITE-6178,11038b0b,TP-Link Archer C7,874.41,326,-40.3,0.53,0.17,20.95,-64.17,QAM64,Sync Loss,365,44.7,7.75,2021-09-30,2022-09-09,344
ACC-68960,SITE-1841,31aeef21,Arris TG2492,1400.47,338,-88.2,5.44,3.37,38.28,-67.63,QAM16,Sync Loss,33,67.0,-3.47,2022-12-22,2023-03-23,91
ACC-96557,SITE-8668,0b04b74e,Netgear CM500,1384.32,10,-45.3,3.52,1.69,17.73,-50.75,QPSK,Packet Drops,87,57.5,9.31,2023-12-04,2024-10-18,319
ACC-31706,SITE-3741,09e050bc,Netgear CM500,862.46,18,-69.9,8.34,2.25,41.09,-105.61,QAM256,Overheating,18,81.6,4.6,2021-04-20,2022-04-19,364
ACC-39655,SITE-2721,86dbdd21,Motorola MB7621,561.28,297,-37.9,6.04,1.78,40.5,-103.0,QAM256,CRC Errors,365,72.1,-5.83,2023-04-20,2023-12-20,244
ACC-19911,SITE-5012,43cbfc6e,Technicolor CGM4231,1276.1,239,-88.5,1.46,2.57,42.07,-98.64,QPSK,CRC Errors,477,52.4,5.15,2022-01-30,2022-09-27,240
ACC-14237,SITE-2526,236f1940,Motorola MB7621,563.43,235,-50.8,8.06,1.83,34.79,-102.81,QAM256,Packet Drops,409,44.1,6.44,2021-07-24,2021-10-15,83
ACC-93111,SITE-5915,782770fe,Technicolor CGM4231,402.93,325,-44.7,7.98,3.5,27.32,-56.2,QAM16,Overheating,190,70.5,-9.9,2021-08-31,2022-07-26,329
ACC-81313,SITE-7518,215ab869,Technicolor CGM4231,1210.47,107,-95.6,0.01,1.93,32.06,-41.52,QPSK,Overheating,18,68.5,-2.16,2020-04-28,2020-05-17,19
ACC-81758,SITE-5816,9ee87f9a,Arris TG2492,1270.73,72,-97.7,1.1,0.86,33.23,-54.62,QPSK,Sync Loss,228,82.6,0.84,2022-11-29,2023-06-24,207
ACC-89972,SITE-5283,a7a39bc2,Arris TG2492,483.95,238,-56.9,3.58,3.04,38.7,-67.07,QPSK,Signal Fading,196,70.3,-0.57,2020-11-04,2020-11-06,2
ACC-24748,SITE-3154,a7d90c33,Technicolor CGM4231,884.01,261,-57.1,1.2,4.13,36.84,-53.75,QAM16,Packet Drops,375,65.7,-4.34,2022-01-21,2022-05-02,101
ACC-39681,SITE-5330,f40ada3d,Motorola MB7621,725.22,244,-74.0,3.97,2.75,17.57,-88.36,QAM16,Overheating,461,53.2,7.53,2021-07-08,2021-10-11,95
ACC-12357,SITE-3965,c995715b,Technicolor CGM4231,1051.81,325,-100.0,1.12,1.03,26.02,-108.76,QPSK,Overheating,457,33.4,-8.7,2020-12-20,2021-07-30,222
ACC-82213,SITE-3216,067f4da5,TP-Link Archer C7,886.82,219,-88.5,5.48,0.42,40.78,-62.68,QAM256,Sync Loss,25,80.5,8.64,2023-03-15,2024-01-11,302
ACC-83972,SITE-8079,6556acb4,Arris TG2492,1311.8,250,-89.1,2.75,4.02,39.73,-87.75,QAM64,Sync Loss,397,67.1,6.96,2021-01-31,2021-04-15,74
ACC-98398,SITE-9814,04291adb,Netgear CM500,1266.51,153,-90.6,2.35,3.26,28.38,-56.59,QAM64,Packet Drops,421,81.4,5.03,2020-02-12,2020-10-19,250
ACC-19690,SITE-4197,02a2b5c2,Technicolor CGM4231,706.42,259,-51.5,6.53,0.61,48.96,-85.61,QAM16,CRC Errors,466,60.6,-4.58,2023-07-04,2023-08-31,58
ACC-74431,SITE-2684,9bd7a86a,TP-Link Archer C7,1043.99,150,-80.4,8.6,1.06,16.63,-52.41,QAM16,Sync Loss,176,66.3,8.1,2022-10-14,2023-07-23,282
ACC-48043,SITE-3533,25289f03,TP-Link Archer C7,656.29,206,-34.4,8.44,0.87,12.61,-77.0,QPSK,Packet Drops,489,70.9,2.95,2022-01-29,2022-04-11,72
ACC-58244,SITE-7428,a8d14a64,Technicolor CGM4231,549.91,126,-52.5,4.21,1.85,16.62,-74.29,QPSK,CRC Errors,438,78.2,-5.76,2022-09-21,2023-01-17,118
ACC-83488,SITE-5400,f62d681e,Technicolor CGM4231,942.42,41,-82.8,7.11,2.81,26.53,-51.68,QAM16,Packet Drops,372,54.6,-1.14,2020-09-15,2021-02-06,144
ACC-88871,SITE-6556,e21a1f32,Netgear CM500,168.88,134,-69.3,1.89,3.16,49.26,-44.7,QAM256,CRC Errors,27,48.0,-6.72,2021-01-07,2021-02-28,52
ACC-59283,SITE-3484,cbf6fee8,TP-Link Archer C7,1452.93,260,-42.6,3.41,3.82,29.76,-110.29,QAM64,Signal Fading,167,37.3,-5.48,2020-07-04,2021-04-14,284
ACC-92889,SITE-7145,e594b1c1,Motorola MB7621,1447.93,146,-42.7,8.08,4.94,18.23,-66.83,QAM256,Signal Fading,42,82.2,1.84,2021-12-27,2022-01-26,30
ACC-97324,SITE-1872,bdbdb70a,Technicolor CGM4231,883.01,49,-81.3,7.86,4.61,25.27,-105.91,QPSK,CRC Errors,387,49.2,5.99,2020-07-25,2020-08-14,20
ACC-64684,SITE-4041,2d387d04,Arris TG2492,357.98,191,-67.6,2.06,2.6,31.12,-65.24,QAM256,Overheating,226,49.3,5.27,2022-07-16,2022-11-16,123
ACC-35264,SITE-7515,3b121283,Arris TG2492,1102.28,162,-69.7,8.53,3.98,48.94,-106.72,QAM16,Signal Fading,390,60.8,8.94,2021-05-03,2021-10-20,170
ACC-29891,SITE-1626,04eeba35,Technicolor CGM4231,1313.76,90,-43.9,6.63,1.17,46.52,-59.5,QAM64,Sync Loss,188,42.1,-5.49,2023-08-26,2023-09-12,17
ACC-54529,SITE-2152,d5bbdb04,TP-Link Archer C7,925.91,170,-84.4,1.75,0.79,37.0,-93.67,QAM256,Overheating,31,77.9,-7.51,2021-12-22,2022-05-02,131
ACC-27964,SITE-5771,1c6f4890,Technicolor CGM4231,509.72,115,-41.3,8.58,4.85,42.45,-77.02,QAM16,CRC Errors,45,60.0,-6.11,2023-09-09,2023-11-02,54
ACC-56392,SITE-3899,c9903f7a,Arris TG2492,1045.74,211,-67.6,2.86,1.44,43.34,-42.43,QAM64,Signal Fading,11,68.1,-5.47,2020-01-03,2020-05-02,120
ACC-76039,SITE-3760,01fe1d13,Netgear CM500,303.46,10,-63.3,8.36,4.2,14.49,-80.84,QAM16,Signal Fading,62,76.9,4.89,2021-04-05,2021-09-07,155
ACC-98953,SITE-2962,fb2dc8be,Netgear CM500,821.96,159,-89.4,3.28,2.23,19.2,-59.55,QPSK,CRC Errors,41,44.8,-2.44,2020-03-17,2020-08-16,152
ACC-71598,SITE-9749,2b22cfa6,Technicolor CGM4231,886.62,328,-90.1,0.28,2.17,25.14,-109.51,QPSK,Sync Loss,114,50.8,4.72,2022-11-20,2023-05-04,165
ACC-11673,SITE-5858,a349e8e5,Netgear CM500,1282.58,207,-37.0,2.64,4.41,49.81,-112.91,QAM64,Packet Drops,364,77.6,2.47,2021-09-28,2021-12-11,74
ACC-63021,SITE-2964,9918b974,Motorola MB7621,1180.77,19,-84.6,1.97,4.57,13.34,-40.1,QPSK,Packet Drops,499,75.1,8.04,2020-11-28,2021-08-25,270
ACC-86157,SITE-9538,d5cbdcbf,TP-Link Archer C7,710.54,60,-73.2,1.02,2.02,13.35,-81.52,QAM16,Signal Fading,265,72.6,9.07,2021-05-25,2021-08-18,85
ACC-54366,SITE-9838,1c62b8fe,Motorola MB7621,281.21,112,-41.8,8.38,1.13,17.94,-101.17,QAM256,Sync Loss,256,32.6,2.23,2020-12-14,2021-05-29,166
ACC-23489,SITE-6189,e90f1da4,Arris TG2492,234.68,17,-77.3,9.69,3.44,23.49,-112.42,QAM256,Sync Loss,354,81.3,-5.73,2022-04-17,2022-09-29,165
ACC-66185,SITE-9961,91f3aae8,TP-Link Archer C7,895.03,171,-34.2,2.69,3.17,45.47,-107.22,QPSK,Sync Loss,181,40.4,9.17,2020-03-20,2021-02-07,324
ACC-56282,SITE-7596,c99d4bd1,Technicolor CGM4231,624.56,100,-64.2,8.13,0.36,34.77,-84.72,QAM16,Signal Fading,424,74.3,-7.5,2020-06-24,2021-05-12,322
ACC-84292,SITE-7862,2a7f0887,TP-Link Archer C7,654.62,269,-95.5,2.52,3.47,20.3,-40.46,QPSK,Signal Fading,320,70.6,3.84,2023-10-28,2024-08-13,290
ACC-43046,SITE-3399,9c2c5795,TP-Link Archer C7,449.0,65,-59.4,3.47,1.6,26.94,-103.4,QAM64,Overheating,159,38.9,-2.85,2020-12-14,2021-07-01,199
ACC-66911,SITE-5134,8724fb84,TP-Link Archer C7,758.53,178,-77.2,2.1,3.06,17.96,-82.89,QAM16,Overheating,147,53.6,-6.31,2023-08-12,2024-02-10,182
ACC-76182,SITE-8006,0071cc90,Netgear CM500,680.42,277,-53.9,8.64,1.73,26.78,-96.48,QAM256,Overheating,325,38.0,-0.14,2023-03-06,2023-08-01,148
ACC-37981,SITE-2905,c531cab1,Motorola MB7621,691.85,50,-98.5,8.24,0.69,13.73,-57.79,QAM16,CRC Errors,281,48.0,1.28,2022-04-26,2022-12-04,222
ACC-92615,SITE-9790,403d47aa,Arris TG2492,1276.22,60,-37.8,5.44,1.94,30.23,-53.18,QAM256,Signal Fading,461,63.7,0.84,2021-05-20,2022-01-26,251
ACC-75778,SITE-4196,9b070bab,Motorola MB7621,331.14,346,-55.0,5.73,2.35,19.37,-87.05,QAM16,Signal Fading,257,50.9,-5.99,2023-06-04,2023-07-15,41
ACC-76563,SITE-7122,da107fa7,TP-Link Archer C7,1417.3,101,-34.9,7.35,3.01,13.27,-110.09,QPSK,Signal Fading,417,58.6,-7.38,2022-01-28,2022-07-05,158
ACC-15862,SITE-4283,9bc66305,Arris TG2492,393.4,239,-81.8,6.33,3.53,26.08,-76.93,QAM256,CRC Errors,21,56.0,-6.11,2020-05-14,2020-11-10,180
ACC-56588,SITE-2460,f75d3af5,Arris TG2492,304.94,142,-82.5,5.22,3.53,47.88,-114.68,QAM256,Signal Fading,177,61.4,7.56,2023-09-28,2024-09-24,362
ACC-91838,SITE-6430,a8314fcc,Technicolor CGM4231,324.78,241,-84.2,0.56,1.58,43.45,-67.9,QAM64,Signal Fading,349,42.9,-0.68,2023-10-06,2024-07-26,294
ACC-16175,SITE-3777,9d2d18e1,Netgear CM500,1014.98,223,-69.4,4.65,0.38,48.61,-101.72,QAM16,Overheating,154,71.4,8.58,2022-04-29,2023-01-17,263
ACC-23360,SITE-7492,6733f89f,Netgear CM500,971.48,220,-85.4,3.16,4.5,37.89,-82.93,QPSK,Packet Drops,441,77.2,-7.35,2021-11-11,2022-10-06,329
ACC-24694,SITE-4012,71599ee4,Arris TG2492,802.27,347,-95.7,9.22,2.25,24.78,-95.17,QPSK,CRC Errors,360,46.2,-2.88,2020-11-17,2021-10-10,327
ACC-54785,SITE-2165,0d7be90a,TP-Link Archer C7,500.81,120,-59.4,1.48,3.02,16.62,-88.43,QAM64,Signal Fading,317,55.8,9.67,2022-03-03,2022-09-04,185
ACC-73967,SITE-4747,a2a1348f,TP-Link Archer C7,573.26,238,-41.6,8.0,4.85,16.34,-116.87,QAM64,CRC Errors,86,44.6,-8.61,2021-11-03,2022-04-21,169
ACC-77243,SITE-4796,df804ae1,Motorola MB7621,875.35,51,-30.1,9.63,2.9,37.71,-80.52,QAM64,Overheating,23,61.3,-1.87,2020-07-14,2021-04-05,265
ACC-88373,SITE-4193,bf11f305,Motorola MB7621,1067.2,68,-39.0,8.95,2.56,33.87,-69.19,QPSK,Signal Fading,134,36.7,-3.47,2022-03-04,2022-05-25,82
ACC-20085,SITE-6812,c1911911,Technicolor CGM4231,1159.33,133,-82.4,1.34,4.2,25.88,-106.85,QPSK,Signal Fading,495,76.5,-1.25,2023-04-21,2023-06-08,48
ACC-88237,SITE-5658,f4ba3c6e,TP-Link Archer C7,955.82,48,-45.6,7.23,4.19,20.85,-41.51,QAM64,CRC Errors,249,44.5,-2.66,2020-12-14,2021-12-12,363
ACC-99824,SITE-8891,31ec6523,Technicolor CGM4231,914.96,258,-55.6,8.64,3.93,16.39,-98.12,QAM16,Overheating,128,40.7,5.39,2020-12-26,2021-02-01,37
ACC-64179,SITE-7016,dd927fee,Arris TG2492,527.46,6,-62.6,5.21,0.72,26.94,-55.12,QPSK,Signal Fading,206,74.7,-8.76,2022-11-19,2023-10-01,316
ACC-15061,SITE-2978,c76ef2fe,Arris TG2492,730.77,353,-75.7,9.89,1.21,10.07,-108.86,QAM256,Packet Drops,87,72.4,-0.3,2023-07-13,2024-06-13,336
ACC-36245,SITE-8825,c884792b,Arris TG2492,153.28,67,-43.4,1.82,1.88,46.67,-110.8,QAM16,Sync Loss,254,57.5,-7.73,2020-07-22,2021-03-18,239
ACC-34109,SITE-8861,3825d35c,TP-Link Archer C7,1198.67,8,-57.4,7.64,0.64,35.95,-90.75,QAM16,Packet Drops,335,73.3,-0.5,2022-12-24,2023-09-28,278
ACC-55682,SITE-5373,ce420859,Netgear CM500,1320.3,164,-43.6,5.94,3.08,22.85,-40.19,QAM16,Sync Loss,146,78.8,1.17,2021-01-26,2022-01-24,363
ACC-87147,SITE-5928,98a11863,Motorola MB7621,339.09,140,-52.0,2.3,1.6,25.1,-83.82,QAM16,Overheating,266,45.3,9.72,2023-11-19,2024-04-16,149
ACC-99767,SITE-7144,79b79c45,Arris TG2492,405.22,208,-82.0,5.7,3.87,46.67,-47.89,QAM64,Packet Drops,350,74.5,-7.66,2023-03-15,2023-04-18,34
ACC-44019,SITE-8888,69145eee,Arris TG2492,313.22,82,-76.6,4.27,3.36,19.78,-74.2,QPSK,CRC Errors,315,59.5,-8.81,2023-09-08,2024-01-07,121
ACC-12033,SITE-5273,d529a9ba,Arris TG2492,1157.93,72,-59.4,8.42,4.09,41.36,-94.49,QAM16,Packet Drops,288,49.3,0.55,2021-11-06,2022-04-11,156
ACC-90792,SITE-1113,ca7e605b,Netgear CM500,1436.85,44,-70.9,2.56,0.78,34.27,-58.39,QAM16,Signal Fading,116,70.7,-2.74,2021-08-30,2021-09-30,31
ACC-68840,SITE-4615,b7ac3945,TP-Link Archer C7,281.93,309,-51.2,4.96,3.28,16.01,-91.1,QAM16,Sync Loss,38,55.4,4.65,2021-09-28,2021-12-22,85
ACC-80475,SITE-5141,c80c4f83,Motorola MB7621,638.93,69,-39.8,0.76,0.65,20.49,-67.71,QAM64,Signal Fading,397,39.4,-1.17,2022-03-22,2022-11-24,247
ACC-74544,SITE-3055,7b05e556,Motorola MB7621,1400.11,306,-37.7,8.07,4.74,46.87,-93.19,QPSK,Overheating,481,59.4,8.21,2023-11-09,2024-04-25,168
ACC-15246,SITE-9765,7c9e3d9f,Netgear CM500,143.4,183,-58.2,8.77,1.2,48.96,-86.68,QAM256,CRC Errors,93,39.6,4.07,2023-09-19,2023-09-28,9
ACC-67433,SITE-6006,f175b174,Motorola MB7621,186.19,174,-96.8,7.77,0.06,20.27,-75.6,QPSK,Overheating,63,73.7,8.2,2023-02-18,2023-06-17,119
ACC-37454,SITE-4995,f2504be9,Technicolor CGM4231,476.91,109,-50.8,4.87,3.52,49.18,-79.37,QPSK,CRC Errors,474,37.1,6.68,2022-07-26,2022-11-14,111
ACC-66803,SITE-6145,db2e62dc,Technicolor CGM4231,965.49,136,-36.3,1.26,1.93,28.54,-70.14,QAM64,Sync Loss,150,74.1,-8.36,2023-11-20,2024-02-11,83
ACC-69069,SITE-7053,8d9e16ea,TP-Link Archer C7,608.11,334,-49.6,8.35,4.02,24.41,-82.12,QPSK,Sync Loss,479,64.6,-4.03,2023-08-16,2024-03-17,214
ACC-86970,SITE-3652,a04d43ce,Motorola MB7621,761.31,165,-77.7,7.45,1.68,15.89,-97.29,QAM256,CRC Errors,87,76.4,-0.5,2022-06-14,2023-01-09,209
ACC-19300,SITE-9012,63874798,Motorola MB7621,595.65,332,-96.6,1.16,4.6,13.24,-56.29,QPSK,Signal Fading,433,74.1,-0.37,2021-04-05,2021-11-09,218
ACC-24676,SITE-5754,a645f993,Motorola MB7621,342.48,281,-76.8,9.2,3.27,40.76,-76.27,QAM256,Packet Drops,147,69.8,-4.0,2022-09-08,2023-05-01,235
ACC-35527,SITE-8492,b17ef864,Netgear CM500,1274.18,115,-61.1,6.07,2.12,49.6,-104.35,QAM16,Overheating,372,52.8,9.45,2021-09-05,2022-05-18,255
ACC-37996,SITE-1811,587d7bae,Motorola MB7621,399.98,86,-63.5,2.71,0.13,44.79,-108.56,QAM16,Signal Fading,234,61.3,-4.01,2021-03-17,2021-07-10,115
ACC-69664,SITE-8337,45a87712,Netgear CM500,1483.28,260,-93.5,5.14,4.5,49.74,-41.95,QAM64,Signal Fading,346,63.0,-3.51,2023-04-03,2023-05-05,32
ACC-55230,SITE-2256,b6775a8c,Technicolor CGM4231,109.5,28,-52.8,2.42,2.41,41.2,-109.33,QAM16,CRC Errors,331,42.3,-6.3,2021-04-10,2022-02-18,314
